Designator,Mid X,Mid Y,Rotation,Layer
R428,177.2,-84.7,0.0,top
R429,149.975,-78.7,0.0,top
R430,187.575,-93.1,180.0,top
R431,179.45,-99.1,270.0,top
R501,128.0,-137.125,90.0,top
R502,149.225,-121.1,0.0,top
R503,153.6,-118.7,270.0,top
R504,145.475,-121.1,0.0,top
R505,149.225,-118.3,180.0,top
R506,156.4,-118.7,90.0,top
R507,145.475,-118.3,180.0,top
R508,167.6,-125.925,90.0,top
R509,154.8,-129.5,270.0,top
R510,154.8,-125.875,90.0,top
R601,170.4,-125.925,90.0,top
R602,164.325,-101.1,0.0,top
U101,137.825,-96.065,0.0,top
U102,150.4625,-101.65,270.0,top
U103,134.035,-81.6,90.0,top
U301,153.6,-63.9,0.0,top
U302,153.7,-72.605,0.0,top
U401,138.3625,-118.23,0.0,top
U402,136.45,-129.75,180.0,top
U403,125.7,-111.45,180.0,top
U404,112.4,-129.5,0.0,top
U405,181.55,-65.9,0.0,top
U501,128.855,-130.0692,270.0,bottom
U601,159.4,-104.9,270.0,bottom
U602,176.1714,-104.572998,180.0,bottom
U603,173.79,-118.84,0.0,top
Y101,144.0,-94.7,180.0,top
