Designator,Mid X,Mid Y,Rotation,Layer
R5,111.025,-127.775,90.0,top
R50,135.2,-117.0,90.0,top
R51,132.2,-113.325,270.0,top
R52,133.85,-76.5,0.0,top
R53,135.6,-60.675,90.0,top
R54,141.2,-120.4,90.0,top
R55,135.2,-113.3,270.0,top
R56,135.425,-105.5,0.0,top
R57,135.425,-102.8,0.0,top
R58,135.425,-99.9,180.0,top
R59,138.55,-70.1,90.0,top
R6,112.375,-100.3,0.0,top
R60,141.2,-127.375,90.0,top
R61,141.2,-123.9,90.0,top
R62,138.2,-120.4,270.0,top
R63,141.2,-117.2,270.0,top
R64,141.35,-70.1,90.0,top
R65,144.3,-123.9,90.0,top
R66,144.4,-120.4,270.0,top
R67,144.15,-70.1,90.0,top
R68,149.475,-136.61,180.0,top
R69,149.4,-133.8,0.0,top
R7,112.375,-97.5,180.0,top
R70,146.6,-105.5,180.0,top
R71,146.6,-102.8,0.0,top
R72,149.2,-120.8,0.0,top
R73,149.2,-117.07,180.0,top
R74,149.2,-114.2,180.0,top
R75,150.6,-102.8,0.0,top
R76,149.9,-79.2,0.0,top
R77,152.775,-120.8,180.0,top
R78,152.775,-117.1,180.0,top
R79,151.78,-95.8,0.0,top
R8,112.375,-94.95,180.0,top
R80,155.2,-127.25,0.0,top
R81,155.2,-124.3,180.0,top
R82,157.2,-85.5,0.0,top
R83,157.275,-82.51,0.0,top
R84,158.25,-96.3,90.0,top
R85,156.5,-96.29,90.0,top
R86,163.4,-107.53,270.0,top
R87,163.4,-104.33,270.0,top
R88,167.6,-125.925,90.0,top
R89,166.3,-107.5,90.0,top
R9,112.375,-91.9,0.0,top
R90,166.28,-104.31,270.0,top
R91,164.325,-101.1,0.0,top
R92,170.4,-125.925,90.0,top
R93,172.22,-111.61,180.0,top
R94,172.21,-110.04,0.0,top
R95,175.575,-61.1,0.0,top
R96,178.4,-104.46,180.0,top
R97,177.16,-86.31,180.0,top
R98,177.185,-83.51,0.0,top
R99,177.16,-80.71,0.0,top
TP1,149.9,-64.55,0.0,top
TP2,175.11,-67.53,0.0,top
U1,112.45,-123.3,90.0,top
U10,173.785,-121.185,0.0,top
U11,181.55,-65.9,0.0,top
U2,123.61,-107.9325,180.0,top
U3,119.8875,-125.25,90.0,top
U301,160.81,-118.93,180.0,bottom
U302,176.7,-102.07,270.0,bottom
U4,134.05,-81.6,90.0,top
U5,136.45,-129.75,180.0,top
U6,144.4,-88.2965,270.0,top
U7,162.7875,-95.905,270.0,top
U8,162.6375,-88.855,0.0,top
U9,165.56,-113.03,0.0,top
Y1,135.4,-91.875,180.0,top
